City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
152,Okhotsk,RU,59.3833,143.3,-22.95,90,47,14.29,scattered clouds
153,Bethel,US,41.3712,-73.414,46.78,59,90,3.0,overcast clouds
154,Szydlowiec,PL,51.2282,20.8611,33.53,44,100,6.91,light snow
155,Chernyshevskiy,RU,63.0128,112.4714,10.99,86,100,12.66,overcast clouds
156,Albania,AL,41.0,20.0,49.39,86,100,2.57,overcast clouds
157,Poum,NC,-20.2333,164.0167,79.34,77,32,10.92,scattered clouds
158,Bobo Dioulasso,BF,11.1771,-4.2979,93.49,11,76,5.28,broken clouds
159,Pyay,MM,18.8167,95.2167,71.62,76,83,1.01,broken clouds
160,Vostok,RU,46.4856,135.8833,-12.37,98,47,5.57,scattered clouds
161,Qaqortoq,GL,60.7167,-46.0333,37.9,73,100,16.24,overcast clouds
162,Edson,CA,53.5835,-116.4356,12.04,75,100,1.9,overcast clouds
163,Puerto Carreno,CO,6.189,-67.4859,93.54,42,88,7.78,overcast clouds
164,Saskylakh,RU,71.9167,114.0833,-20.45,98,100,5.48,overcast clouds
165,Tura,IN,25.5198,90.2201,65.19,81,99,2.26,overcast clouds
166,Viransehir,TR,37.2353,39.7631,50.45,40,97,5.21,overcast clouds
167,La Palma,US,33.8464,-118.0467,61.36,84,90,1.01,haze
168,Ningyang,CN,35.7642,116.7914,40.93,53,0,4.59,clear sky
169,Boyolangu,ID,-8.1181,111.8935,75.94,92,100,3.69,moderate rain
170,Amga,RU,60.8953,131.9608,-10.82,99,100,4.5,light snow
171,Olivehurst,US,39.0955,-121.5522,62.33,96,90,3.44,fog
172,Belyy Yar,RU,53.6039,91.3903,30.09,63,0,13.42,clear sky
173,Robertsport,LR,6.7533,-11.3686,83.68,71,40,12.08,scattered clouds
174,Quelimane,MZ,-17.8786,36.8883,80.2,76,0,12.41,clear sky
175,Rawson,AR,-43.3002,-65.1023,80.55,23,0,12.86,clear sky
176,Sao Raimundo Das Mangabeiras,BR,-7.0219,-45.4811,76.21,88,95,3.22,moderate rain
177,Casper,US,42.8666,-106.3131,50.72,40,1,21.99,clear sky
178,Komsomolskiy,UZ,40.4272,71.7189,43.52,61,100,0.0,haze
179,Sinnamary,GF,5.3833,-52.95,77.23,90,100,4.43,overcast clouds
180,Lagoa,PT,39.05,-27.9833,63.97,84,37,13.31,scattered clouds
181,Kongolo,CD,-5.3833,27.0,76.6,74,34,0.89,scattered clouds
182,Roebourne,AU,-20.7833,117.1333,89.65,33,22,15.37,few clouds
183,Porto Novo,BJ,6.4965,2.6036,84.02,69,90,9.48,overcast clouds
184,Adrar,MR,20.5022,-10.0711,78.96,10,64,12.66,broken clouds
185,Acajutla,SV,13.5928,-89.8275,88.09,48,35,2.17,scattered clouds
186,Champagnole,FR,46.7445,5.9135,44.98,91,98,11.81,light rain
187,Manbij,SY,36.5281,37.9549,50.77,45,100,8.55,overcast clouds
188,Chokurdakh,RU,70.6333,147.9167,-39.71,100,87,3.53,overcast clouds
189,Marawi,PH,7.9986,124.2928,66.65,97,92,3.87,overcast clouds
190,Harper,LR,4.375,-7.7169,82.56,75,48,9.28,scattered clouds
191,Verkhnyaya Inta,RU,65.9811,60.3094,-17.25,93,11,7.34,few clouds
192,Okha,RU,53.5739,142.9478,2.43,82,47,13.04,scattered clouds
193,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,63,40,15.01,scattered clouds
194,Najran,SA,17.4924,44.1277,60.75,26,0,4.47,clear sky
195,Nuuk,GL,64.1835,-51.7216,48.81,46,75,19.57,broken clouds
196,Muscle Shoals,US,34.7448,-87.6675,62.85,94,90,0.0,mist
197,Kahului,US,20.8947,-156.47,65.46,88,40,5.75,scattered clouds
198,Pacific Grove,US,36.6177,-121.9166,53.71,82,90,3.0,overcast clouds
199,Gravelbourg,CA,49.8834,-106.5512,29.79,34,100,10.13,overcast clouds
200,El Cope,PA,8.6167,-80.6,76.46,74,87,8.34,overcast clouds
201,Ajdabiya,LY,30.7554,20.2263,63.41,55,62,23.91,broken clouds
202,Ponta Do Sol,PT,32.6667,-17.1,67.12,58,89,9.82,overcast clouds
203,Malmyzh,RU,56.5205,50.6818,29.77,88,84,11.79,broken clouds
204,Kincardine,GB,56.0667,-3.7167,43.52,77,100,17.38,overcast clouds
205,Sabang,ID,5.8933,95.3214,81.16,76,71,11.36,broken clouds
206,Ketou,BJ,7.3633,2.5998,91.99,24,90,2.95,overcast clouds
207,Mayo,US,38.8876,-76.5119,58.41,57,1,3.0,clear sky
208,Husavik,IS,66.0449,-17.3389,20.8,77,87,10.18,overcast clouds
